Account,Date,Channel,Units,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00
6425590009 TOWN OF ANDOVER,6/1/2012,1 kWh,kWh,21.84,20.88,21.6,21.12,21.12,21.36,21.12,21.6,21.12,23.28,22.56,21.6,21.12,20.88,20.88,21.12,21.12,20.88,20.16,39.84,82.56,139.92,199.2,204.24,209.52,209.76,210.24,211.2,211.2,212.64,215.28,215.52,222,243.12,230.4,213.6,213.84,210.24,210.96,209.76,210,209.28,205.92,207.84,208.32,208.08,207.12,205.2,204.48,204.96,204.24,204.48,205.2,208.56,208.08,207.6,224.88,240.96,214.56,208.56,210.96,207.84,207.6,206.64,205.44,205.68,204.48,200.64,162.96,141.6,140.88,141.36,140.64,141.84,141.36,98.4,146.88,150.48,150,173.04,183.12,128.4,94.08,127.68,147.6,147.84,144.96,87.84,87.84,89.52,30.24,20.64,20.88,21.12,21.12,20.88
6425590009 TOWN OF ANDOVER,6/1/2012,1 Power Factor,Power Factor,64.084507,63.043478,63.380282,62.857143,63.309353,63.571429,62.411348,62.937063,63.309353,65.986395,64.383562,63.380282,63.309353,62.142857,62.589928,62.857143,62.857143,62.589928,62.222222,67.206478,72.727273,77.320955,83.923155,84.257426,84.4294,84.607938,84.474446,84.615385,84.210526,84.300666,84.383819,84.477893,84.090909,84.628237,84.432718,84.280303,84.295175,84.149856,84.195402,84.119346,84.053794,84.088717,83.789063,84.159378,84.190107,83.768116,83.867833,83.496094,83.693517,83.643487,83.842365,83.775811,83.823529,83.799421,83.768116,83.980583,83.810376,84.440706,83.943662,83.961353,84.195402,83.833495,84.062196,83.836417,83.675464,83.773216,83.693517,83.34995,79.601407,76.623377,76.631854,76.493506,76.902887,76.953125,76.89295,80.86785,87.303852,87.815126,87.90436,87.182588,87.701149,88.576159,89.908257,87.933884,87.857143,87.874465,87.918486,79.565217,80.087527,80.735931,68.852459,62.773723,63.50365,64.233577,64.705882,63.043478
6425590009 TOWN OF ANDOVER,6/1/2012,2,kVAh,34.08,33.12,34.08,33.6,33.36,33.6,33.84,34.32,33.36,35.28,35.04,34.08,33.36,33.6,33.36,33.6,33.6,33.36,32.4,59.28,113.52,180.96,237.36,242.4,248.16,247.92,248.88,249.6,250.8,252.24,255.12,255.12,264,287.28,272.88,253.44,253.68,249.84,250.56,249.36,249.84,248.88,245.76,246.96,247.44,248.4,246.96,245.76,244.32,245.04,243.6,244.08,244.8,248.88,248.4,247.2,268.32,285.36,255.6,248.4,250.56,247.92,246.96,246.48,245.52,245.52,244.32,240.72,204.72,184.8,183.84,184.8,182.88,184.32,183.84,121.68,168.24,171.36,170.64,198.48,208.8,144.96,104.64,145.2,168,168.24,164.88,110.4,109.68,110.88,43.92,32.88,32.88,32.88,32.64,33.12
6425590009 TOWN OF ANDOVER,6/2/2012,1 kWh,kWh,20.64,20.88,21.12,20.64,20.64,20.88,22.32,23.04,20.88,20.88,20.88,20.88,20.64,21.12,20.64,21.12,21.12,21.12,21.12,21.12,70.08,132.96,139.68,143.52,143.28,142.56,142.32,144.72,145.44,143.76,142.08,141.6,141.6,172.56,170.88,180.24,195.36,195.12,195.12,198,190.8,151.44,154.32,152.16,151.2,151.2,150.96,151.2,151.2,150.48,150.24,150,149.76,150,157.44,185.28,168.48,149.76,149.76,149.76,149.52,149.76,149.52,149.52,149.52,149.52,149.28,149.52,150,152.4,149.52,149.52,149.76,149.52,149.52,149.76,156.48,182.4,167.28,149.28,137.28,141.6,144.48,142.56,141.36,137.76,134.64,91.2,87.6,54.24,22.32,21.12,21.36,20.16,21.84,23.52
6425590009 TOWN OF ANDOVER,6/2/2012,1 Power Factor,Power Factor,64.179104,64.444444,64.705882,63.235294,64.179104,63.50365,66.428571,66.666667,63.970588,63.50365,63.50365,63.970588,62.773723,63.768116,62.773723,63.768116,63.768116,63.768116,63.768116,63.309353,85.380117,81.952663,81.85654,82.142857,81.780822,81.70564,81.680441,82.152589,81.451613,81.275441,81.09589,81.155433,80.821918,81.519274,82.312139,85.050963,86.320255,86.305732,86.122881,86.56873,87.362637,91.848617,91.988555,91.884058,91.836735,91.836735,91.824818,91.836735,91.970803,91.666667,91.923642,91.776799,91.764706,91.776799,90.984743,91.145218,91.287386,91.764706,91.495601,91.629956,91.617647,91.629956,91.752577,92.023634,91.752577,91.887906,91.740413,92.023634,91.776799,92.028986,91.752577,91.887906,92.035398,91.887906,92.023634,91.899853,91.188811,91.127098,91.590013,91.875923,88.544892,85.507246,86,85.590778,85.860058,85.037037,84.743202,87.759815,87.951807,82.181818,66.428571,64.233577,64.492754,62.222222,64.084507,67.586207
6425590009 TOWN OF ANDOVER,6/2/2012,2,kVAh,32.16,32.4,32.64,32.64,32.16,32.88,33.6,34.56,32.64,32.88,32.88,32.64,32.88,33.12,32.88,33.12,33.12,33.12,33.12,33.36,82.08,162.24,170.64,174.72,175.2,174.48,174.24,176.16,178.56,176.88,175.2,174.48,175.2,211.68,207.6,211.92,226.32,226.08,226.56,228.72,218.4,164.88,167.76,165.6,164.64,164.64,164.4,164.64,164.4,164.16,163.44,163.44,163.2,163.44,173.04,203.28,184.56,163.2,163.68,163.44,163.2,163.44,162.96,162.48,162.96,162.72,162.72,162.48,163.44,165.6,162.96,162.72,162.72,162.72,162.48,162.96,171.6,200.16,182.64,162.48,155.04,165.6,168,166.56,164.64,162,158.88,103.92,99.6,66,33.6,32.88,33.12,32.4,34.08,34.8
6425590009 TOWN OF ANDOVER,6/3/2012,1 kWh,kWh,21.36,20.16,21.12,20.64,20.64,20.4,20.64,21.12,20.88,20.16,21.12,20.88,23.52,20.64,21.36,20.16,20.64,21.12,20.16,21.6,20.4,20.88,20.64,20.64,22.56,23.52,72.48,133.68,142.08,147.6,146.88,144.72,145.2,145.2,145.2,198.72,206.4,204.48,203.04,224.64,238.8,207.84,201.84,202.08,202.32,202.08,202.32,202.32,165.12,159.12,156.72,155.52,155.04,155.28,154.08,155.04,154.56,154.32,155.04,154.32,154.32,155.52,167.76,187.92,168.96,153.84,152.4,153.12,152.64,152.88,151.2,151.44,150.72,139.68,96.48,135.36,173.52,155.52,140.4,140.16,133.92,127.68,147.6,147.6,147.36,149.04,148.56,147.12,147.12,88.8,78.24,48.96,22.08,21.6,21.6,21.36
6425590009 TOWN OF ANDOVER,6/3/2012,1 Power Factor,Power Factor,63.571429,63.157895,63.768116,63.235294,62.318841,62.043796,62.773723,62.857143,63.043478,61.764706,63.309353,63.043478,67.123288,62.773723,63.571429,62.222222,63.235294,63.309353,61.764706,63.380282,62.043796,62.142857,61.870504,61.870504,65.734266,68.055556,76.844784,85.560676,85.921626,86.619718,85.955056,85.897436,85.9375,85.815603,85.815603,89.320388,89.958159,89.778714,89.71368,89.142857,89.558956,89.648033,89.658849,89.479277,89.585547,89.574468,89.776358,89.395546,91.611185,92.083333,91.971831,92.045455,91.761364,91.903409,91.714286,91.891892,91.868759,91.726106,91.761364,91.857143,91.988555,91.784703,91.253264,91.046512,91.547464,91.965567,91.763006,92.063492,91.907514,91.919192,91.836735,91.715116,91.678832,91.222571,88.157895,82.335766,82.628571,81.921618,81.363004,81.450488,80.752533,80.974125,83.787466,83.787466,83.879781,84.604905,84.447476,84.087791,84.087791,74,71.023965,68.456376,65.248227,64.285714,64.748201,63.571429
6425590009 TOWN OF ANDOVER,6/3/2012,2,kVAh,33.6,31.92,33.12,32.64,33.12,32.88,32.88,33.6,33.12,32.64,33.36,33.12,35.04,32.88,33.6,32.4,32.64,33.36,32.64,34.08,32.88,33.6,33.36,33.36,34.32,34.56,94.32,156.24,165.36,170.4,170.88,168.48,168.96,169.2,169.2,222.48,229.44,227.76,226.32,252,266.64,231.84,225.12,225.84,225.84,225.6,225.36,226.32,180.24,172.8,170.4,168.96,168.96,168.96,168,168.72,168.24,168.24,168.96,168,167.76,169.44,183.84,206.4,184.56,167.28,166.08,166.32,166.08,166.32,164.64,165.12,164.4,153.12,109.44,164.4,210,189.84,172.56,172.08,165.84,157.68,176.16,176.16,175.68,176.16,175.92,174.96,174.96,120,110.16,71.52,33.84,33.6,33.36,33.6
6425590009 TOWN OF ANDOVER,6/4/2012,1 kWh,kWh,22.32,24.48,21.84,21.6,21.36,21.84,21.36,21.6,21.6,21.6,21.6,22.32,24.48,22.56,21.84,21.6,21.6,21.6,22.08,21.6,22.08,21.84,21.84,23.04,85.44,121.44,139.68,143.76,145.44,144.96,145.44,145.92,145.68,147.6,182.16,230.88,209.04,208.56,208.32,206.64,205.2,205.2,204.96,205.44,205.2,207.36,209.04,165.36,153.36,152.16,151.92,151.92,151.68,150.24,149.76,149.76,150,149.28,149.52,149.76,152.4,160.56,182.4,163.68,149.04,148.8,149.52,149.76,150.48,150.96,152.16,149.28,106.56,23.28,24.24,21.84,22.08,21.6,22.08,21.84,21.6,22.32,21.84,22.32,21.6,21.6,21.6,23.76,23.76,21.36,21.84,21.84,21.84,21.84,21.6,22.08
