Account,Date,Channel,Units,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00
6425590009 TOWN OF ANDOVER,6/1/2015,1 kWh,kWh,24.96,23.28,22.8,23.04,22.56,22.8,24.96,25.2,23.76,22.8,22.56,23.04,23.04,22.56,24.96,25.44,23.76,23.04,32.88,82.32,125.04,150.96,150.96,204.96,210,210.96,209.28,207.12,206.88,206.88,206.4,209.76,210.72,211.2,214.08,243.12,220.56,210.24,212.88,213.6,208.08,208.56,209.04,209.76,213.36,212.16,210.48,208.32,208.32,207.6,205.2,203.52,204.72,203.28,204.24,204.48,203.76,204.72,235.2,215.04,199.44,198.96,199.68,175.44,145.44,144.48,144,143.52,142.56,144.48,145.68,144,143.52,143.04,143.76,144.24,187.68,201.84,202.32,201.6,202.8,205.44,234,168.48,151.44,150.96,150.72,150.96,150.24,149.76,110.88,95.04,95.04,88.32,82.32,24
6425590009 TOWN OF ANDOVER,6/1/2015,1 Power Factor,Power Factor,67.532468,64.666667,63.758389,64,63.945578,63.758389,66.666667,67.307692,64.705882,62.913907,63.087248,63.157895,63.157895,62.251656,66.242038,67.088608,63.870968,63.576159,64.92891,71.014493,76.617647,78.625,78.625,83.972468,84.541063,84.682081,84.496124,84.44227,83.85214,83.770651,83.820663,84.038462,84.341979,84.372004,83.755869,84.911987,84.389348,84.230769,84.235518,84.36019,83.768116,83.961353,83.911368,84.038462,84.345351,84.270734,84.084372,83.864734,83.783784,83.736689,83.577713,83.546798,83.627451,83.613031,83.595285,83.529412,83.480826,83.463796,83.976007,83.504194,82.934132,82.982983,83.033932,80.862832,77.001271,76.88378,76.726343,76.666667,76.645161,77.080666,77.128335,77.120823,77.260982,77.102199,76.893453,76.85422,82.142857,83.59841,83.797217,83.58209,83.912612,83.675464,84.562012,87.75,88.128492,87.972028,88.078541,87.972028,88.045007,87.763713,83.544304,81.147541,81.481481,80.174292,79.582367,66.225166
6425590009 TOWN OF ANDOVER,6/1/2015,2,kVAh,36.96,36,35.76,36,35.28,35.76,37.44,37.44,36.72,36.24,35.76,36.48,36.48,36.24,37.68,37.92,37.2,36.24,50.64,115.92,163.2,192,192,244.08,248.4,249.12,247.68,245.28,246.72,246.96,246.24,249.6,249.84,250.32,255.6,286.32,261.36,249.6,252.72,253.2,248.4,248.4,249.12,249.6,252.96,251.76,250.32,248.4,248.64,247.92,245.52,243.6,244.8,243.12,244.32,244.8,244.08,245.28,280.08,257.52,240.48,239.76,240.48,216.96,188.88,187.92,187.68,187.2,186,187.44,188.88,186.72,185.76,185.52,186.96,187.68,228.48,241.44,241.44,241.2,241.68,245.52,276.72,192,171.84,171.6,171.12,171.6,170.64,170.64,132.72,117.12,116.64,110.16,103.44,36.24
6425590009 TOWN OF ANDOVER,6/2/2015,1 kWh,kWh,24,23.76,23.76,23.76,24,23.52,25.68,26.4,24.24,23.52,24,23.76,23.52,24,23.52,23.76,24,26.4,69.6,130.8,144.24,150.96,150.72,151.2,183.36,171.6,156.24,206.16,206.88,205.68,205.68,206.88,206.16,208.32,208.56,207.36,206.16,206.88,205.92,205.92,209.76,209.76,210.72,210,210.24,209.52,206.16,205.44,204.96,204.48,205.2,205.44,237.6,223.2,204.72,203.28,150,145.92,145.68,140.88,150.48,150.48,149.76,150,149.04,150,150,159.36,180.96,156.24,150.48,147.84,111.12,93.12,92.4,94.32,93.6,93.12,94.08,95.28,95.04,97.92,96,94.32,103.68,149.76,150.24,150.24,150.24,149.76,151.68,153.84,148.08,147.12,138,79.44
6425590009 TOWN OF ANDOVER,6/2/2015,1 Power Factor,Power Factor,65.789474,65.562914,65.131579,65.131579,65.789474,64.052288,67.721519,68.322981,66.013072,65.333333,65.789474,65.562914,65.333333,65.359477,65.333333,65.562914,65.789474,69.18239,84.795322,85.826772,85.979971,86.758621,86.740331,86.657497,86.719637,87.408313,87.265416,89.853556,89.60499,89.550679,89.363921,89.511942,89.386056,89.392379,89.587629,89.533679,89.386056,89.419087,89.468196,89.468196,89.73306,89.73306,89.591837,89.559877,89.570552,89.538462,89.200415,89.352818,89.330544,89.308176,89.435146,89.446186,89.108911,89.509143,89.412998,89.345992,85.851648,85.633803,85.734463,89.892802,91.532847,91.666667,91.495601,91.642229,91.323529,91.508053,91.642229,90.710383,90.952955,91.690141,91.800878,91.666667,88.697318,86.995516,86.711712,87.13969,87.248322,86.607143,87.111111,87.444934,87.610619,87.931034,87.912088,87.333333,88.706366,92.035398,91.923642,91.923642,92.058824,91.899853,92.12828,92.230216,91.95231,92.180451,91.853035,86.197917
6425590009 TOWN OF ANDOVER,6/2/2015,2,kVAh,36.48,36.24,36.48,36.48,36.48,36.72,37.92,38.64,36.72,36,36.48,36.24,36,36.72,36,36.24,36.48,38.16,82.08,152.4,167.76,174,173.76,174.48,211.44,196.32,179.04,229.44,230.88,229.68,230.16,231.12,230.64,233.04,232.8,231.6,230.64,231.36,230.16,230.16,233.76,233.76,235.2,234.48,234.72,234,231.12,229.92,229.44,228.96,229.44,229.68,266.64,249.36,228.96,227.52,174.72,170.4,169.92,156.72,164.4,164.16,163.68,163.68,163.2,163.92,163.68,175.68,198.96,170.4,163.92,161.28,125.28,107.04,106.56,108.24,107.28,107.52,108,108.96,108.48,111.36,109.2,108,116.88,162.72,163.44,163.44,163.2,162.96,164.64,166.8,161.04,159.6,150.24,92.16
6425590009 TOWN OF ANDOVER,6/3/2015,1 kWh,kWh,22.8,23.04,24.24,22.56,23.28,24.48,22.8,22.8,24.72,25.68,23.76,24.48,23.52,23.04,24.24,23.28,22.8,23.04,42.24,85.92,135.36,145.44,145.2,162.48,176.64,148.56,146.64,148.08,204.96,211.2,210,210.24,209.76,210.24,209.52,209.04,210,214.08,240.72,216.48,209.52,210,209.28,207.6,207.36,202.8,202.32,199.44,194.88,179.28,150.48,150,149.52,150.24,148.8,149.04,150.72,151.68,148.8,148.08,148.08,148.32,129.6,114.24,129.12,95.76,94.56,96,97.2,96,94.56,94.8,94.08,95.52,94.32,94.56,96.48,119.28,150,154.56,151.68,149.04,150.48,148.8,147.6,173.76,166.56,146.88,147.84,147.84,148.8,133.68,92.16,40.32,34.56,23.28
6425590009 TOWN OF ANDOVER,6/3/2015,1 Power Factor,Power Factor,63.758389,64,66.013072,63.087248,63.815789,65.806452,62.913907,63.333333,65.605096,66.875,64.285714,66.233766,64.900662,64.42953,65.584416,64.666667,63.758389,64.42953,67.175573,72.469636,76.422764,77.692308,77.663671,78.17552,80,78.058008,77.933673,78.101266,83.643487,83.969466,84.134615,84.230769,84.119346,84.069098,83.942308,83.75,83.892617,83.598875,84.64135,83.906977,84.104046,84.134615,84.007707,83.817829,83.965015,83.498024,83.465347,83.266533,82.604273,83.932584,87.083333,87.168759,87.254902,87.308229,87.201125,87.219101,87.343533,87.534626,87.201125,87.023977,87.023977,87.165021,84.90566,79.465776,81.268882,78.082192,78.019802,78.277886,78.640777,79.051383,78.957916,79.637097,79.032258,79.759519,79.393939,79.116466,79.44664,82.695507,86.68516,87.14479,86.813187,86.610879,86.962552,86.713287,87.110482,87.123947,87.737042,87.428571,87.624467,87.375887,87.818697,86.490683,80.842105,77.777778,75.789474,65.540541
6425590009 TOWN OF ANDOVER,6/3/2015,2,kVAh,35.76,36,36.72,35.76,36.48,37.2,36.24,36,37.68,38.4,36.96,36.96,36.24,35.76,36.96,36,35.76,35.76,62.88,118.56,177.12,187.2,186.96,207.84,220.8,190.32,188.16,189.6,245.04,251.52,249.6,249.6,249.36,250.08,249.6,249.6,250.32,256.08,284.4,258,249.12,249.6,249.12,247.68,246.96,242.88,242.4,239.52,235.92,213.6,172.8,172.08,171.36,172.08,170.64,170.88,172.56,173.28,170.64,170.16,170.16,170.16,152.64,143.76,158.88,122.64,121.2,122.64,123.6,121.44,119.76,119.04,119.04,119.76,118.8,119.52,121.44,144.24,173.04,177.36,174.72,172.08,173.04,171.6,169.44,199.44,189.84,168,168.72,169.2,169.44,154.56,114,51.84,45.6,35.52
6425590009 TOWN OF ANDOVER,6/4/2015,1 kWh,kWh,23.28,23.52,23.28,22.8,24.72,23.28,24.96,25.2,23.28,22.8,22.8,24,23.04,22.8,22.56,23.28,22.8,22.8,24.48,34.32,87.6,137.04,141.36,145.44,147.6,155.76,205.44,205.44,206.4,236.16,220.8,208.8,206.88,207.6,207.36,208.08,210.72,210.24,210.24,213.84,213.12,212.64,211.44,211.44,212.88,213.12,211.2,211.68,211.44,205.68,203.28,219.6,235.44,202.08,202.08,202.08,202.08,201.84,202.56,200.64,181.44,150.48,147.84,145.92,101.28,91.2,90.96,90.96,91.2,90.72,105.84,124.08,92.4,92.16,102.96,149.28,147.84,149.04,150,150,149.76,149.76,149.76,150,149.52,150.24,185.28,204.48,201.6,201.84,201.36,193.92,133.44,73.68,22.56,21.84
