"Date / Time","Name Path Reference","Object Name","Object Value",
"26/01/16 04:45:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.KW_A.Trend - Present Value (Trend1)","KW_A.Trend - Present Value (Trend1)","36.68784 kW",
"26/01/16 04:45:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.KW_B.Trend - Present Value (Trend1)","KW_B.Trend - Present Value (Trend1)","37.28697 kW",
"26/01/16 04:45:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.KW_C.Trend - Present Value (Trend1)","KW_C.Trend - Present Value (Trend1)","37.85138 kW",
"26/01/16 04:45:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.KW_Total.Main-kW (Trend1)","KW_Total.Main-kW (Trend1)","112.8194 kW",
"26/01/16 04:45:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.KW_Present_Demand.Main-kW_Present_Demand (Trend1)","KW_Present_Demand.Main-kW_Present_Demand (Trend1)","102.1124 kW",
"26/01/16 04:45:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.Energy.Main-kWh-Energy (Trend1)","Energy.Main-kWh-Energy (Trend1)","7754010 kWh",
"26/01/16 04:45:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.KVAR_Total.Main-kVAR (Trend1)","KVAR_Total.Main-kVAR (Trend1)","114.4456 kVAR",
"26/01/16 04:45:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.KVAR_Present_Demand.Main-kVAR_Present_Demand (Trend1)","KVAR_Present_Demand.Main-kVAR_Present_Demand (Trend1)","106.0123 kVAR",
"26/01/16 04:45:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.KVARh.Main-kVARh (Trend1)","KVARh.Main-kVARh (Trend1)","5322242 kWh",
"26/01/16 04:45:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.KVA_Total.Main-kVA (Trend1)","KVA_Total.Main-kVA (Trend1)","160.009 kVA",
"26/01/16 04:45:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.KVA_Present_Demand.Main-kVA_Present_Demand (Trend1)","KVA_Present_Demand.Main-kVA_Present_Demand (Trend1)","147.2081 kVA",
"26/01/16 04:45:00","Town Of Andover:AHS-NAE1/FEC Bus2.MAIN ELECTRIC METER.Analog Inputs.KVAh.Main-kVAh (Trend1)","KVAh.Main-kVAh (Trend1)","9480644 kWh",
"26/01/16 04:45:00","Town Of Andover:AHS-NAE1/FEC Bus2.PANEL DHB ELECTRIC METER.Analog Inputs.KW_Total.DHB - kW - Present Value (Trend1)","KW_Total.DHB - kW - Present Value (Trend1)","9.578703 kW",
