Usage statistics start at 5:00 each day
,Main (kWh),Gym (kWh),PlugLoad (kWh),Lighting (kWh),Emergency Kitchen+Lights (kWh),Chillers (kWh),CollinCent (kWh)
2015-06-30,,,,,,,
2015-07-01,,,,,,,
2015-07-02,,,,,,,
2015-07-03,1764.0,,,,,,
2015-07-04,2324.0,,,,,,
2015-07-05,2101.0,,,,,,
2015-07-06,3480.0,,,,,,
2015-07-07,4348.0,,,,,,
2015-07-08,3697.0,,,,,,
2015-07-09,3715.0,,,,,,
2015-07-10,3150.0,,,,,,
2015-07-11,1917.0,,,,,,
2015-07-12,2096.0,,,,,,
2015-07-13,4313.0,,,,,,
2015-07-14,3754.0,,,,,,
2015-07-15,4407.0,,,,,,
2015-07-16,4240.0,,,,,,
2015-07-17,3968.0,,,,,,
2015-07-18,3507.0,,,,,,
2015-07-19,3755.0,,,,,,
2015-07-20,5121.0,,,,,,
2015-07-21,5013.0,,,,,,
2015-07-22,4834.0,,,,,,
2015-07-23,4661.0,,,,,,
2015-07-24,4001.0,,,,,,
2015-07-25,2507.0,,,,,,
2015-07-26,1985.0,,,,,,
2015-07-27,4716.0,,,,,,
2015-07-28,5000.0,,,,,,
2015-07-29,4770.0,,,,,,
2015-07-30,4703.0,,,,,,
2015-07-31,4392.0,,,,,,
2015-08-01,2950.0,,,,,,
2015-08-02,2869.0,,,,,,
2015-08-03,6133.0,,,,,,
2015-08-04,6122.0,909.3755,288.65909999999997,580.2826,419.5308,139.67270000000002,159.51079999999996
2015-08-05,5096.0,1735.0059999999999,580.4218999999999,1153.972,780.1918,435.93359999999996,275.7886
2015-08-06,3971.0,1435.3160000000003,428.36799999999994,857.4099999999999,688.4359999999999,199.34500000000003,353.86559999999986
2015-08-07,2540.0,432.22399999999925,280.69000000000005,633.75,666.2919999999999,212.404,357.61199999999985
2015-08-08,1920.0,348.16899999999987,214.5279999999998,475.4960000000001,607.9680000000003,0.7570000000000618,308.798
2015-08-09,1801.0,264.28800000000047,213.90899999999988,499.72500000000036,598.8629999999998,0.7049999999999272,258.1199999999999
2015-08-10,2395.0,343.0659999999998,256.8510000000001,607.3299999999999,643.2690000000002,252.3510000000001,343.711
2015-08-11,3526.0,612.808,405.509,1058.88,742.2870000000003,185.50700000000006,307.68200000000024
2015-08-12,3452.0,415.03699999999935,454.5750000000003,962.7780000000002,722.6449999999995,354.8399999999999,423.61100000000033
2015-08-13,4443.0,610.1349999999993,533.7389999999996,714.6980000000003,732.9350000000004,382.65599999999995,1488.3629999999998
2015-08-14,4018.0,296.47100000000046,436.7049999999999,610.7579999999998,706.8280000000004,263.72699999999986,1776.027
2015-08-15,3119.0,319.628999999999,204.83399999999983,477.8060000000005,656.4350000000004,1.0360000000000582,1512.6229999999996
2015-08-16,3188.0,316.866,205.47500000000036,490.60100000000057,662.4429999999993,1.236000000000331,1565.7300000000005
2015-08-17,4108.0,567.1090000000004,363.21000000000004,687.1640000000007,710.0429999999997,315.40200000000004,1505.4209999999985
2015-08-18,3299.0,393.5049999999992,240.3760000000002,911.4599999999991,778.1490000000013,318.71100000000024,689.2600000000002
2015-08-19,2933.0,400.46399999999994,243.11599999999999,852.1099999999988,875.5500000000011,307.683,304.7600000000002
2015-08-20,4468.0,423.71000000000095,379.2510000000002,956.5300000000007,841.130000000001,1265.9920000000006,491.22000000000116
2015-08-21,4029.0,416.9800000000014,248.46100000000024,1031.8999999999996,766.1400000000012,833.768,578.0200000000004
2015-08-22,2000.0,333.77999999999884,225.91399999999976,560.9299999999985,662.8799999999992,0.5739999999996144,254.36000000000058
2015-08-23,3010.0,370.5799999999999,199.01600000000053,633.8999999999996,699.6099999999988,406.85400000000027,616.3799999999992
2015-08-24,4252.0,621.6899999999987,260.2619999999997,1340.8799999999974,765.3300000000017,611.3629999999994,364.15000000000146
2015-08-25,4646.0,595.5699999999997,390.32800000000043,1133.260000000002,823.9200000000001,665.1240000000007,870.2200000000012
2015-08-26,5045.0,577.4699999999993,323.35899999999947,1441.3899999999994,934.0200000000004,280.95899999999983,1338.289999999999
2015-08-27,3657.0,504.1100000000006,456.6849999999995,892.1700000000019,815.9300000000003,193.65700000000015,858.75
2015-08-28,3356.0,784.6900000000005,290.8580000000002,762.5299999999988,707.4699999999975,177.79600000000028,658.6100000000006
2015-08-29,2233.0,378.7000000000007,207.7639999999992,563.989999999998,644.130000000001,0.6149999999997817,484.2999999999993
2015-08-30,1944.0,336.9200000000001,207.28499999999985,555.8499999999985,656.4300000000003,0.5999999999985448,229.44000000000233
2015-08-31,5242.0,991.6999999999989,408.15300000000025,1254.5699999999997,892.8299999999981,450.47600000000057,1246.239999999998
2015-09-01,5728.0,1278.5,596.0370000000003,1449.2999999999993,945.119999999999,650.7890000000007,726.7700000000004
2015-09-02,6179.0,1364.739999999998,662.7039999999997,1794.8099999999977,939.869999999999,714.9390000000003,626.5900000000001
2015-09-03,6612.0,1289.6399999999994,719.3500000000004,1829.9000000000015,933.869999999999,750.5,983.0199999999968
2015-09-04,6451.0,1419.6100000000006,623.2800000000007,2024.1599999999999,888.5600000000013,452.46999999999935,790.1800000000003
2015-09-05,2774.0,438.91999999999825,232.45999999999913,1145.7100000000028,621.3199999999997,0.7100000000009459,197.71000000000276
2015-09-06,2697.0,332.7900000000009,231.5599999999995,1189.6399999999994,611.8299999999981,0.6499999999996362,196.04999999999927
2015-09-07,3278.0,390.2000000000007,235.45000000000073,1281.8400000000038,630.0499999999993,0.5300000000006548,616.2099999999991
2015-09-08,7795.0,1375.869999999999,682.5699999999997,2335.510000000002,947.5799999999981,859.75,1349.4900000000016
2015-09-09,7720.0,1432.4300000000003,689.6400000000012,2420.1600000000035,961.5800000000017,823.8600000000006,1142.9500000000007
2015-09-10,8068.0,1589.8300000000017,797.1399999999994,2552.0699999999997,1035.3199999999997,641.1599999999999,1159.9300000000003
2015-09-11,6877.0,1520.4500000000007,635.4500000000007,2201.4400000000023,939.1599999999999,434.10000000000036,883.1500000000015
2015-09-12,2680.0,356.2999999999993,238.88999999999942,1093.6500000000015,657.6399999999994,0.6200000000008004,222.88000000000102
2015-09-13,2651.0,330.16999999999825,239.29999999999927,1126.6699999999983,645.5599999999977,0.6100000000005821,200.23999999999796
2015-09-14,2969.0,381.22000000000116,252.1800000000003,1141.6599999999962,662.3700000000026,152.07999999999993,278.2999999999993
2015-09-15,6316.0,1251.170000000002,703.9799999999996,2160.739999999998,956.8200000000033,421.0599999999995,567.4700000000012
2015-09-16,6574.0,1422.8899999999994,751.4599999999991,2262.8199999999997,947.5999999999985,455.59000000000015,495.84999999999854
2015-09-17,7198.0,1315.7700000000004,710.2099999999991,2324.909999999996,977.1999999999971,497.59000000000015,1115.619999999999
2015-09-18,7153.0,1335.699999999997,663.4300000000003,2246.040000000001,883.5300000000061,486.0100000000002,1286.520000000004
2015-09-19,2797.0,376.1900000000023,250.87000000000262,1203.25,629.4599999999991,0.6499999999996362,213.90999999999622
2015-09-20,2605.0,371.16999999999825,248.09000000000015,1036.7900000000009,618.6100000000006,0.5999999999985448,200.25
2015-09-21,5730.0,1225.800000000003,701.0099999999984,1884.0699999999997,931.3300000000017,256.8700000000008,458.84999999999854
2015-09-22,5983.0,1378.9300000000003,650.9500000000007,1979.520000000004,961.8600000000006,282.03999999999905,458.7100000000064
2015-09-23,2659.0,437.5400000000009,323.630000000001,802.6100000000006,694.6200000000026,113.31000000000131,311.4800000000032
2015-09-24,5415.0,1265.229999999996,671.3300000000017,1659.6800000000003,969.3899999999994,300.3899999999994,467.86999999999534
2015-09-25,5292.0,1386.0800000000017,625.9500000000007,1612.3999999999942,942.7800000000061,212.12999999999738,428.3700000000026
2015-09-26,2250.0,456.5699999999997,249.84999999999854,639.0800000000017,677.75,0.7800000000024738,267.0199999999968
2015-09-27,2276.0,470.1900000000023,249.51000000000204,654.7399999999907,670.2300000000032,0.7399999999979627,274.6900000000023
2015-09-28,6012.0,1245.6399999999994,715.4300000000003,2129.75,991.0699999999997,242.41999999999825,468.52999999999884
