Usage statistics from between 5:00 and 20:00 each day
,Main (kWh),Gym (kWh),PlugLoad (kWh),Lighting (kWh),Emergency Kitchen+Lights (kWh),Chillers (kWh),CollinCent (kWh)
2015-06-30,,,,,,,
2015-07-01,,,,,,,
2015-07-02,,,,,,,
2015-07-03,808.0,,,,,,
2015-07-04,1429.0,,,,,,
2015-07-05,1257.0,,,,,,
2015-07-06,2524.0,,,,,,
2015-07-07,3081.0,,,,,,
2015-07-08,2773.0,,,,,,
2015-07-09,2705.0,,,,,,
2015-07-10,2314.0,,,,,,
2015-07-11,1114.0,,,,,,
2015-07-12,1232.0,,,,,,
2015-07-13,3026.0,,,,,,
2015-07-14,2785.0,,,,,,
2015-07-15,3035.0,,,,,,
2015-07-16,2948.0,,,,,,
2015-07-17,2838.0,,,,,,
2015-07-18,2152.0,,,,,,
2015-07-19,2305.0,,,,,,
2015-07-20,3506.0,,,,,,
2015-07-21,3643.0,,,,,,
2015-07-22,3279.0,,,,,,
2015-07-23,3495.0,,,,,,
2015-07-24,2744.0,,,,,,
2015-07-25,1706.0,,,,,,
2015-07-26,1178.0,,,,,,
2015-07-27,3195.0,,,,,,
2015-07-28,3508.0,,,,,,
2015-07-29,3357.0,,,,,,
2015-07-30,3291.0,,,,,,
2015-07-31,3147.0,,,,,,
2015-08-01,1800.0,,,,,,
2015-08-02,1749.0,,,,,,
2015-08-03,4724.0,,,,,,
2015-08-04,4815.0,360.2175,163.91830000000002,291.91959999999995,160.66269999999997,138.69710000000003,71.36269999999996
2015-08-05,3504.0,1123.817,355.06870000000004,808.7920000000001,515.3397999999999,405.09159999999997,190.97249999999997
2015-08-06,2730.0,888.4569999999999,319.1039999999998,601.6759999999999,459.5519999999999,199.067,258.6512
2015-08-07,1779.0,273.97999999999956,200.23000000000002,447.2649999999999,444.9580000000001,212.1020000000001,230.04199999999992
2015-08-08,1184.0,194.60199999999986,135.7739999999999,294.91200000000026,387.74400000000014,0.4539999999999509,192.60500000000002
2015-08-09,1089.0,110.97299999999996,134.34800000000018,313.9369999999999,379.7339999999999,0.4230000000000018,171.212
2015-08-10,1638.0,163.15099999999984,176.85500000000002,413.45600000000013,410.0590000000002,252.13100000000009,259.12799999999993
2015-08-11,2359.0,409.8680000000004,286.645,657.268,489.83700000000044,185.24800000000005,217.32100000000037
2015-08-12,2541.0,225.41699999999946,308.6980000000003,760.9560000000001,476.7419999999993,317.2360000000001,327.21900000000005
2015-08-13,2864.0,426.058,323.60099999999966,471.60599999999977,467.5770000000002,238.94999999999982,924.9299999999998
2015-08-14,2715.0,141.79700000000048,341.77999999999975,415.3080000000009,471.16600000000017,263.0160000000001,1132.2730000000001
2015-08-15,1968.0,146.62099999999919,128.13700000000063,292.28499999999985,421.78300000000036,0.31100000000014916,1011.4700000000003
2015-08-16,2021.0,146.04800000000068,128.6890000000003,302.3250000000007,420.5020000000004,0.9340000000001965,1056.2570000000005
2015-08-17,2898.0,392.1110000000008,282.067,483.4539999999997,459.0630000000001,314.59400000000005,985.9509999999991
2015-08-18,2374.0,202.6180000000004,160.22999999999956,650.119999999999,484.0789999999997,318.4720000000002,573.6299999999992
2015-08-19,1972.0,194.86599999999999,162.0079999999998,598.7199999999993,551.3199999999997,307.50700000000006,192.04000000000087
2015-08-20,3162.0,236.97000000000116,286.89600000000064,665.630000000001,559.5600000000013,934.1370000000002,381.880000000001
2015-08-21,3138.0,239.1800000000003,154.3140000000003,803.1499999999996,517.7800000000007,777.9079999999994,485.1900000000005
2015-08-22,1222.0,161.61999999999898,148.92199999999957,351.7399999999998,424.3099999999995,0.36199999999917054,158.75
2015-08-23,2008.0,205.52999999999884,126.03300000000036,410.3299999999999,455.9599999999991,312.0529999999999,434.85000000000036
2015-08-24,2947.0,411.34999999999854,181.808,883.4099999999999,500.3100000000013,553.3599999999997,254.86000000000058
2015-08-25,3531.0,397.4300000000003,280.45899999999983,860.4500000000007,533.6599999999999,595.8550000000005,697.4800000000014
2015-08-26,3714.0,367.02000000000044,243.28099999999995,1000.5999999999985,661.630000000001,280.6729999999998,1110.92
2015-08-27,2588.0,313.02000000000044,304.9969999999994,641.5900000000001,538.0300000000025,193.36799999999948,643.4599999999991
2015-08-28,2417.0,539.6499999999996,213.65899999999965,538.3899999999994,475.02999999999884,177.53700000000026,481.1900000000023
2015-08-29,1412.0,193.59000000000015,130.57200000000012,354.6499999999978,407.380000000001,0.3469999999997526,354.9300000000003
2015-08-30,1164.0,156.27000000000044,130.4369999999999,343.6899999999987,415.630000000001,0.352999999999156,144.0600000000013
2015-08-31,4279.0,700.3799999999992,324.3030000000017,999.2800000000025,655.7699999999968,450.22100000000137,1134.8799999999974
2015-09-01,4841.0,1058.5400000000009,507.6329999999998,1201.920000000002,699.6500000000015,648.6409999999996,629.8199999999997
2015-09-02,5245.0,1177.880000000001,560.6739999999991,1496.8400000000001,694.9799999999996,712.0390000000007,513.5299999999988
2015-09-03,5691.0,1091.4599999999991,619.3700000000008,1558.5900000000001,685.5,746.8600000000006,868.8499999999985
2015-09-04,5463.0,1225.0200000000004,538.0300000000007,1683.880000000001,652.0500000000029,451.3799999999992,712.7099999999991
2015-09-05,1740.0,270.4599999999991,147.15999999999985,711.9200000000019,401.77000000000044,0.4500000000007276,121.28000000000247
2015-09-06,1640.0,159.85000000000218,146.48999999999978,737.119999999999,390.0,0.4099999999998545,120.22999999999956
2015-09-07,2177.0,204.23999999999796,149.11000000000058,809.989999999998,397.75,0.3600000000005821,538.4900000000016
2015-09-08,6472.0,1183.4000000000015,579.3199999999997,1855.3700000000026,688.989999999998,857.2299999999996,1107.7100000000028
2015-09-09,6441.0,1230.8300000000017,583.7399999999998,1907.2300000000032,686.5700000000033,822.0100000000002,1005.1000000000022
2015-09-10,6685.0,1329.2000000000007,648.0799999999999,2012.2200000000012,762.9599999999991,638.6499999999996,1053.3100000000013
2015-09-11,5748.0,1313.1699999999983,547.4300000000003,1774.1699999999983,688.2700000000004,432.71999999999935,770.8300000000017
2015-09-12,1645.0,185.1999999999971,151.48999999999978,675.3300000000017,420.47000000000116,0.38000000000101863,141.58000000000175
2015-09-13,1626.0,160.23999999999796,150.11999999999898,712.4300000000003,408.98999999999796,0.37999999999919964,124.84999999999854
2015-09-14,1938.0,209.38000000000102,159.8799999999992,730.5199999999968,435.1000000000022,151.88999999999942,190.84000000000015
2015-09-15,5211.0,1063.8500000000022,591.6599999999999,1724.1800000000003,723.0700000000033,419.78999999999905,477.4100000000035
2015-09-16,5454.0,1223.0600000000013,635.5799999999981,1819.0900000000038,713.0799999999945,454.3899999999994,407.8799999999974
2015-09-17,5915.0,1103.7100000000028,596.5799999999981,1841.3300000000017,720.0,495.4400000000005,946.1100000000006
2015-09-18,5818.0,1163.6399999999994,571.0699999999997,1788.1400000000067,651.9900000000052,482.4899999999998,953.0400000000009
2015-09-19,1728.0,196.4499999999971,159.47999999999956,761.6399999999994,398.93999999999505,0.3899999999994179,133.25999999999476
2015-09-20,1682.0,188.09999999999854,156.7699999999968,731.8199999999997,398.00999999999476,0.32999999999992724,126.43999999999505
2015-09-21,4743.0,1015.8700000000026,594.7799999999988,1609.5,696.7099999999991,256.5600000000013,348.49000000000524
2015-09-22,4970.0,1193.5,547.619999999999,1655.6000000000058,706.6699999999983,281.7399999999998,362.9600000000064
2015-09-23,1780.0,230.59000000000378,218.4900000000016,542.0400000000009,462.0699999999997,113.04000000000087,222.95000000000437
2015-09-24,4525.0,1064.8499999999985,564.0800000000017,1408.7099999999991,720.260000000002,298.2699999999968,373.29999999999563
2015-09-25,4413.0,1166.2900000000009,533.2700000000004,1368.8099999999977,688.5300000000061,211.84999999999854,344.70000000000437
2015-09-26,1336.0,214.58000000000175,157.95000000000073,395.66999999999825,433.08000000000175,0.5300000000024738,159.52999999999884
2015-09-27,1411.0,267.40000000000146,157.34000000000015,413.52999999999884,427.3600000000006,0.5,172.26000000000204
2015-09-28,4812.0,1045.8600000000006,589.8700000000026,1660.1399999999994,718.9599999999991,241.41999999999825,379.5599999999977
