Usage statistics from between 20:15 and 4:45 each day
,Main (kWh),Gym (kWh),PlugLoad (kWh),Lighting (kWh),Emergency Kitchen+Lights (kWh),Chillers (kWh),CollinCent (kWh)
2015-06-30,,,,,,,
2015-07-01,,,,,,,
2015-07-02,,,,,,,
2015-07-03,914.0,,,,,,
2015-07-04,859.0,,,,,,
2015-07-05,810.0,,,,,,
2015-07-06,913.0,,,,,,
2015-07-07,1206.0,,,,,,
2015-07-08,884.0,,,,,,
2015-07-09,961.0,,,,,,
2015-07-10,797.0,,,,,,
2015-07-11,771.0,,,,,,
2015-07-12,829.0,,,,,,
2015-07-13,1225.0,,,,,,
2015-07-14,926.0,,,,,,
2015-07-15,1309.0,,,,,,
2015-07-16,1234.0,,,,,,
2015-07-17,1080.0,,,,,,
2015-07-18,1297.0,,,,,,
2015-07-19,1383.0,,,,,,
2015-07-20,1542.0,,,,,,
2015-07-21,1303.0,,,,,,
2015-07-22,1480.0,,,,,,
2015-07-23,1110.0,,,,,,
2015-07-24,1205.0,,,,,,
2015-07-25,768.0,,,,,,
2015-07-26,774.0,,,,,,
2015-07-27,1451.0,,,,,,
2015-07-28,1413.0,,,,,,
2015-07-29,1348.0,,,,,,
2015-07-30,1343.0,,,,,,
2015-07-31,1187.0,,,,,,
2015-08-01,1100.0,,,,,,
2015-08-02,1073.0,,,,,,
2015-08-03,1337.0,,,,,,
2015-08-04,1256.0,531.607,118.38189999999997,275.932,250.56560000000002,0.25319999999999254,84.86359999999996
2015-08-05,1546.0,595.77,218.9733,334.5369999999998,257.1479999999999,27.442999999999984,82.6132
2015-08-06,1207.0,532.7490000000007,105.99800000000005,247.76199999999972,221.89200000000005,0.27800000000002,92.78039999999987
2015-08-07,741.0,156.3229999999994,78.24800000000005,181.19900000000007,214.7819999999997,0.30199999999990723,123.67699999999991
2015-08-08,718.0,151.89500000000044,76.55999999999995,175.70300000000043,213.91200000000026,0.2919999999999163,113.07899999999995
2015-08-09,694.0,151.71600000000035,77.24299999999994,179.6930000000002,212.8489999999997,0.2819999999999254,84.64300000000003
2015-08-10,737.0,175.4939999999997,77.73300000000017,188.27199999999993,226.808,0.22000000000002728,82.36500000000024
2015-08-11,1127.0,193.46199999999953,113.39800000000014,389.76700000000073,244.51400000000012,0.25900000000001455,87.07900000000018
2015-08-12,879.0,185.1389999999992,139.3760000000002,196.03499999999985,237.91299999999956,34.13500000000022,93.37000000000035
2015-08-13,1520.0,179.66699999999946,204.15599999999995,235.1840000000002,257.8830000000007,139.04199999999992,533.6679999999997
2015-08-14,1255.0,152.29100000000017,91.65599999999995,189.65499999999884,228.63400000000001,0.6770000000001346,613.5339999999997
2015-08-15,1117.0,167.7479999999996,74.5679999999993,180.3150000000005,227.942,0.7150000000001455,485.03399999999965
2015-08-16,1129.0,167.24499999999898,74.72199999999975,182.60800000000017,235.04500000000007,0.3020000000001346,488.34900000000016
2015-08-17,1171.0,170.65899999999965,77.4380000000001,197.22000000000116,243.375,0.7829999999999018,501.22999999999956
2015-08-18,896.0,183.9499999999989,77.92200000000048,252.84000000000015,285.25,0.23900000000003274,112.32999999999993
2015-08-19,932.0,199.71899999999914,78.85699999999997,245.36999999999898,313.8700000000008,0.16499999999996362,109.5
2015-08-20,1252.0,179.82000000000153,87.28499999999985,280.8600000000006,271.39999999999964,314.4290000000001,106.21000000000095
2015-08-21,861.0,169.90999999999985,91.58700000000044,221.8799999999992,240.72000000000116,53.73700000000008,90.14000000000124
2015-08-22,754.0,165.89999999999964,74.69499999999971,203.01999999999862,232.22999999999956,0.21200000000044383,92.85000000000036
2015-08-23,937.0,156.63000000000102,70.99499999999989,214.01999999999862,234.21999999999935,87.19800000000032,155.27000000000044
2015-08-24,1260.0,201.67000000000007,76.25799999999981,444.10999999999694,255.08000000000175,54.347999999999956,106.55000000000109
2015-08-25,1061.0,190.29999999999927,104.29400000000078,263.8600000000006,281.1799999999985,60.95100000000002,160.23999999999978
2015-08-26,1268.0,198.63999999999942,76.54899999999998,425.15000000000146,260.6200000000026,0.24800000000050204,209.45999999999913
2015-08-27,1024.0,183.1200000000008,146.22199999999975,241.09000000000015,267.84999999999854,0.2790000000004511,203.15000000000146
2015-08-28,904.0,232.51000000000022,75.03700000000026,217.0099999999984,224.91999999999825,0.25900000000001455,170.70999999999913
2015-08-29,795.0,177.51000000000022,75.03099999999904,203.4300000000003,229.95999999999913,0.2680000000000291,124.5099999999984
2015-08-30,756.0,173.32999999999993,74.71800000000076,206.47999999999956,234.0600000000013,0.24699999999938882,82.79999999999927
2015-08-31,924.0,279.90999999999985,81.5069999999996,247.21999999999753,229.09999999999854,0.25499999999919964,101.91999999999825
2015-09-01,852.0,209.8100000000013,85.96700000000055,240.03999999999724,237.09000000000015,0.23300000000017462,92.77000000000044
2015-09-02,896.0,178.40999999999985,99.19000000000051,287.869999999999,236.21999999999753,0.20999999999912689,108.4900000000016
2015-09-03,882.0,188.05999999999767,96.90999999999985,261.8600000000006,239.63999999999942,0.2000000000007276,109.59000000000015
2015-09-04,951.0,185.5,82.79000000000087,327.1800000000003,229.45000000000073,0.27999999999883585,75.06999999999971
2015-09-05,1001.0,161.34000000000015,82.93999999999869,421.25,213.3100000000013,0.2600000000002183,74.10000000000218
2015-09-06,1023.0,165.70000000000073,82.51000000000022,438.9200000000019,215.3299999999981,0.23999999999978172,73.44000000000233
2015-09-07,1066.0,178.03000000000247,83.76000000000022,457.75,225.27000000000044,0.17000000000007276,75.29999999999927
2015-09-08,1271.0,183.23999999999796,100.22999999999956,464.1599999999962,249.36000000000058,0.25,230.1899999999987
2015-09-09,1223.0,191.6999999999971,102.75,496.01000000000204,265.59999999999854,0.19000000000050932,125.02000000000044
2015-09-10,1293.0,241.47999999999956,138.1900000000005,511.3400000000038,259.48999999999796,0.2000000000007276,92.86000000000058
2015-09-11,1086.0,197.12000000000262,85.47999999999956,413.7300000000032,242.86999999999898,0.22000000000116415,107.20000000000073
2015-09-12,1003.0,163.97999999999956,84.90999999999985,406.08000000000175,230.5799999999981,0.22999999999956344,78.79000000000087
2015-09-13,993.0,162.6800000000003,86.73999999999978,402.0,230.0099999999984,0.23000000000138243,73.0099999999984
2015-09-14,996.0,163.84000000000015,89.61000000000058,398.2099999999991,220.15999999999985,0.19000000000050932,84.09000000000015
2015-09-15,1062.0,178.35000000000218,109.18000000000029,422.3000000000029,224.6600000000035,0.2999999999992724,85.57999999999811
2015-09-16,1077.0,188.41999999999825,112.5,429.34999999999854,226.87000000000262,0.37000000000080036,83.97000000000116
2015-09-17,1224.0,201.62000000000262,110.29000000000087,467.1999999999971,248.88999999999942,0.25,151.95999999999913
2015-09-18,1273.0,164.4499999999971,89.76000000000204,443.0,224.5699999999997,0.23999999999978172,308.50000000000364
2015-09-19,1035.0,171.81000000000495,88.79000000000087,428.90000000000146,223.6600000000035,0.2600000000002183,78.12000000000262
2015-09-20,892.0,176.19000000000233,88.7300000000032,292.99000000000524,214.54000000000087,0.26999999999861757,71.52000000000407
2015-09-21,948.0,200.83000000000175,103.15999999999985,261.9099999999962,226.69000000000233,0.2999999999992724,105.47999999999593
2015-09-22,972.0,176.54000000000087,100.11999999999898,310.5500000000029,246.94000000000233,0.27999999999883585,90.9600000000064
2015-09-23,850.0,198.5699999999997,102.15999999999985,252.0300000000061,225.79000000000087,0.26000000000203727,85.05000000000291
2015-09-24,851.0,190.43999999999505,104.19000000000233,242.51000000000204,238.77999999999884,0.2800000000024738,89.5199999999968
2015-09-25,849.0,211.0500000000029,90.01000000000204,236.2899999999936,245.90000000000146,0.2699999999967986,80.76000000000204
2015-09-26,886.0,233.6999999999971,89.20999999999913,236.63999999999942,237.05999999999767,0.25,104.23999999999796
2015-09-27,839.0,195.8000000000029,89.56000000000131,234.47999999999593,235.61000000000058,0.22999999999956344,99.26000000000204
2015-09-28,1154.0,191.06000000000495,119.09999999999854,454.7600000000093,262.3399999999965,0.2599999999983993,84.65000000000146
2015-09-29,1154.0,186.83000000000175,104.93000000000029,462.3899999999994,250.4300000000003,0.2400000000016007,107.72000000000116
