,amain,bmain,cmain,pres,KW_Total.AHS_N1-DE-ATS-kW (Trend1),KW_Total.AHS_N1-DG-kW (Trend1),KW_Total.AHS_N1-DHB - kW (Trend1),KW_Total.AHS_N1-DL-kW (Trend1),KW_Total.AHS_N1-Main-kW (Trend1),KW_Total.CollinCtr-kW (Trend1),KW_Total.M1-kW-Total (Trend1)
2015-12-31 19:00:00,53.7541,50.49195,53.23979,150.5177,38.61507,48.40012,19.78663,25.57889,157.4515,25.32073,0.0
2015-12-31 19:15:00,45.13146,49.13944,47.99229,149.7137,30.74008,46.29103,20.99574,23.33764,142.1562,21.47161,0.0
2015-12-31 19:30:00,47.66279,58.82288,54.51954,140.7036,37.15575,48.41215,21.77761,23.27608,161.0052,33.64369,0.0
2015-12-31 19:45:00,39.90845,48.65165,48.25098,143.2587,28.72348,47.73886,20.95343,24.03374,136.725,17.23737,0.0
2015-12-31 20:00:00,42.80274,49.86535,48.67883,143.2347,32.68392,48.26004,20.17133,25.22468,141.2049,17.22358,0.0
2016-01-01 05:00:00,41.03445,46.38376,48.37632,123.9469,27.14133,31.00894,20.53695,28.92115,135.7945,31.09238,0.0
2016-01-01 05:15:00,59.74784,62.69922,61.89931,127.7738,96.82537,30.27703,20.86051,19.91712,184.3464,22.21633,0.0
2016-01-01 05:30:00,52.72717,57.75829,60.038,152.4096,79.75745,28.03121,23.14764,24.17789,170.5235,23.36222,0.0
2016-01-01 05:45:00,63.62332,66.98228,62.4708,169.1254,58.50181,43.39951,20.41621,22.49366,193.0764,50.94793,0.0
2016-01-01 06:00:00,63.82922,63.91513,59.63745,175.3359,46.1228,46.35633,19.99609,23.714,187.3818,54.52388,0.0
2016-01-01 06:15:00,61.41058,62.5098,62.02459,191.8065,58.65949,45.71572,20.26454,23.88563,185.945,39.59852,0.0
2016-01-01 06:30:00,57.75066,63.13684,58.06289,181.0669,49.41158,45.71202,20.63748,23.94222,178.9504,42.14569,0.0
2016-01-01 06:45:00,56.13319,59.12917,57.3727,178.6241,50.33732,44.54348,21.08397,22.37696,172.6351,36.8153,0.0
2016-01-01 07:00:00,57.37268,62.62385,61.00941,175.6731,56.89336,44.48332,20.74472,24.76931,180.9841,33.71404,0.0
2016-01-01 07:15:00,54.66061,63.57614,60.14793,178.5948,52.8157,46.65173,20.11679,23.66149,178.3847,42.6824,0.0
2016-01-01 07:30:00,58.68642,58.4519,57.40729,177.4563,42.84268,46.30642,19.91104,22.93255,174.561,44.18688,0.0
2016-01-01 07:40:00,,,,,,,,,,,
2016-01-01 07:45:00,58.12032,62.33706,56.69629,179.018,57.77477,34.58761,19.30047,19.32088,177.1537,50.16563,0.0
2016-01-01 08:00:00,48.44194,51.2623,52.58419,169.8793,47.53565,31.07299,20.82177,25.48313,152.2884,32.89611,0.0
2016-01-01 08:15:00,51.0418,55.34795,53.78349,158.1593,50.09321,34.15302,21.06179,25.41801,160.1732,32.58761,0.0
2016-01-01 08:30:00,55.05959,61.52054,58.03255,163.5787,61.17581,33.88287,21.181,25.89464,174.6127,36.65475,0.0
2016-01-01 08:45:00,51.81032,54.82039,53.52654,164.3858,46.83711,35.00632,20.15093,27.54925,160.3469,32.49252,0.0
2016-01-01 09:00:00,53.47411,60.0557,53.35129,159.8949,53.13301,35.10332,20.10147,25.34402,166.7565,37.58089,0.0
